date,webshopId,category,title,list_price,current_price,is_bonus,bonus_mechanism,sales_unit_size,unit_price,unit
2026-08-28,1525,Dairy & eggs,AH Halfvolle melk,1.29,,False,,1 l,1.29,liter
2026-08-28,450535,Dairy & eggs,AH Houdbare volle melk,0.99,,False,,1 l,0.99,liter
2026-08-28,96643,Dairy & eggs,AH Magere yoghurt,1.39,,False,,1 l,1.39,liter
2026-08-28,429777,Dairy & eggs,Campina Magere milde kwark naturel voordeelpak,3.49,,False,,1 kg,3.49,kg
2026-08-28,320085,Dairy & eggs,AH Jong belegen 35+ plakken,3.59,2.69,True,25% korting,ca. 170 g,21.12,kg
2026-08-28,193236,Dairy & eggs,AH Roomboter ongezouten,2.59,,False,,250 g,10.36,kg
2026-08-28,479760,Dairy & eggs,Natuurfarm de Boed 10 scharrel eieren S M L,3.79,,False,,10 stuks,,
2026-08-28,118131,Dairy & eggs,AH Vanillevla,1.59,,False,,1 l,1.59,liter
2026-08-28,485699,Bread & cereals,AH Vloerbrood volkoren heel,2.69,,False,,per stuk,,
2026-08-28,112336,Bread & cereals,AH Extra lang lekker casino wit heel,1.49,,False,,per stuk,,
2026-08-28,513514,Bread & cereals,Bolletje Vezelrijk boeren beschuit meerzaden,1.99,,False,,10 stuks,,
2026-08-28,162826,Bread & cereals,Kellogg's Cornflakes,3.09,,False,,375 g,8.24,kg
2026-08-28,438127,Bread & cereals,AH Volkoren muesli naturel,2.65,,False,,1 kg,2.65,kg
2026-08-28,162513,Bread & cereals,AH Zilvervliesrijst,1.42,,False,,1 kg,1.42,kg
2026-08-28,159760,Bread & cereals,AH Spaghetti,0.85,,False,,500 g,1.7,kg
2026-08-28,36783,Bread & cereals,AH Tarwebloem,0.85,,False,,1 kg,0.85,kg
2026-08-28,543332,Meat & fish,AH Scharrel kipfilet naturel,2.59,,False,,150 g,17.27,kg
2026-08-28,4004,Meat & fish,AH Rundergehakt,4.25,,False,,300 g,14.17,kg
2026-08-28,232421,Meat & fish,AH Speklap,5.45,,False,,ca. 480 g,11.36,kg
2026-08-28,367555,Meat & fish,Unox Extra magere rookworst,4.59,,False,,275 g,16.69,kg
2026-08-28,598216,Meat & fish,AH Zalmfilet a  la minute 2-pack,12.26,9.19,True,,2 stuks,,
2026-08-28,485298,Meat & fish,Princes Tonijnstukken in water voordeelpak,6.99,,False,,435 g,22.84,kg
2026-08-28,560666,Meat & fish,AH Achterham,1.49,,False,,75 g,19.87,kg
2026-08-28,455430,Vegetables,AH Finest Red Nederlandse trostomaten,2.49,,False,,450 g,5.53,kg
2026-08-28,54074,Vegetables,AH Komkommer,0.85,,False,,per stuk,,
2026-08-28,525847,Vegetables,AH Gele uien,1.09,,False,,3 stuks,,
2026-08-28,4117,Vegetables,AH Paprika rood,1.09,,False,,per stuk,,
2026-08-28,129684,Vegetables,AH IJsbergsla,1.09,,False,,200 g,5.45,kg
2026-08-28,226367,Vegetables,AH Broccoliroosjes,1.49,,False,,450 g,3.31,kg
2026-08-28,4076,Vegetables,AH Winterpeen,1.39,,False,,1 kg,1.39,kg
2026-08-28,67842,Vegetables,AH Witte champignons,1.89,,False,,400 g,4.73,kg
2026-08-28,123955,Vegetables,AH Kruimige aardappelen,1.29,,False,,1 kg,1.29,kg
2026-08-28,197393,Fruit,AH Bananen tros,1.49,,False,,Tros,,
2026-08-28,123209,Fruit,AH Elstar zak,3.99,2.99,True,VOOR 2.99,"1,5 kg",2.66,kg
2026-08-28,67896,Fruit,AH Handsinaasappelen,3.29,2.49,True,VOOR 2.49,2 kg,1.65,kg
2026-08-28,80585,Fruit,AH Pitloze witte druiven,2.59,,True,2 stapelen tot 50%,500 g,5.18,kg
2026-08-28,565851,Fruit,AH Citroen,1.59,1.19,True,25% korting,500 g,3.18,kg
2026-08-28,129242,Fruit,AH Groene kiwi's,6.49,,False,,1 kg,6.49,kg
2026-08-28,381377,Drinks,AH Zwarte thee Engelse melange 1 kop,0.69,,False,,50 stuks,,
2026-08-28,616715,Drinks,Coca-Cola Original taste 6-pack,13.14,11.83,True,10% volume voordeel,6 stuks,,
2026-08-28,55444,Drinks,Appelsientje Sinaasappel met extra vruchtvlees,2.99,,True,2 voor 3.99,1 l,2.99,liter
2026-08-28,210145,Drinks,Heineken Premium pilsener krat,19.99,14.99,True,25% korting,"24 x 0,3 l",2.78,liter
2026-08-28,567973,Drinks,Spa Intense bruisend mineraalwater,1.29,,False,,"1,5 l",0.86,liter
2026-08-28,594632,Snacks & sweets,Kitkat Melkchocoladereep double chocolate,1.99,,False,,99 g,20.1,kg
2026-08-28,526381,Snacks & sweets,Lay's Naturel,2.19,1.69,True,VOOR 1.69,200 g,10.95,kg
2026-08-28,170059,Snacks & sweets,AH Stroopwafels,2.69,,False,,8 stuks,,
2026-08-28,3579,Snacks & sweets,Calvé Pindakaas pot,3.49,,False,,350 g,9.97,kg
2026-08-28,493644,Snacks & sweets,De Ruijter Chocoladehagel melk,3.75,,False,,390 g,9.62,kg
2026-08-28,573535,Snacks & sweets,LU Bastogne original 3-pack,6.45,5.8,True,10% volume voordeel,3 stuks,,
2026-08-28,511002,Pantry staples,AH Kristalsuiker,0.75,,False,,1 kg,0.75,kg
2026-08-28,3372,Pantry staples,AH Keukenzout met jodium,0.85,,False,,1 kg,0.85,kg
2026-08-28,63361,Pantry staples,AH Olijfolie extra vierge,3.59,,False,,250 ml,14.36,liter
2026-08-28,906,Pantry staples,AH Zonnebloemolie,1.35,,False,,1 l,1.35,liter
2026-08-28,216494,Pantry staples,Heinz Tomato ketchup,2.69,,False,,400 ml,6.73,liter
2026-08-28,429373,Pantry staples,Calvé Mayonaise,4.09,,False,,650 ml,6.29,liter
2026-08-28,556728,Pantry staples,AH Pastasaus basilicum,1.25,,False,,520 g,2.4,kg
2026-08-28,920,Pantry staples,AH Rijkgevulde tomatensoep,1.49,,False,,800 ml,1.86,liter
2026-08-28,445254,Frozen,AH Steenoven pizza margherita,2.99,,False,,348 g,8.59,kg
2026-08-28,67746,Frozen,AH Bladspinazie grof gesneden,1.25,,False,,450 g,2.78,kg
